Level,Dimension,log10_alpha,log10_mass_GeV,log10_wavelength_meters,log10_N_weyl
190,3691087032412706639440686994833808526209,-7.713915688612285e+38,-7.713915688612285e+38,7.713915688612285e+38,157.1894358962641
191,5972304273877744135569338397692020533504,-1.2481377770525727e+39,-1.2481377770525727e+39,1.2481377770525727e+39,158.025386457264
192,9663391306290450775010025392525829059713,-2.019529345913801e+39,-2.019529345913801e+39,2.019529345913801e+39,158.86133701826392
193,15635695580168194910579363790217849593217,-3.2676671229663736e+39,-3.2676671229663736e+39,3.2676671229663736e+39,159.69728757926384
194,25299086886458645685589389182743678652930,-5.287196468880175e+39,-5.287196468880175e+39,5.287196468880175e+39,160.53323814026376
195,40934782466626840596168752972961528246147,-8.554863591846549e+39,-8.554863591846549e+39,8.554863591846549e+39,161.36918870126365
196,66233869353085486281758142155705206899077,-1.3842060060726723e+40,-1.3842060060726723e+40,1.3842060060726723e+40,162.20513926226357
197,107168651819712326877926895128666735145224,-2.239692365257327e+40,-2.239692365257327e+40,2.239692365257327e+40,163.0410898232635
198,173402521172797813159685037284371942044301,-3.623898371329999e+40,-3.623898371329999e+40,3.623898371329999e+40,163.8770403842634
199,280571172992510140037611932413038677189525,-5.863590736587327e+40,-5.863590736587327e+40,5.863590736587327e+40,164.71299094526333
200,453973694165307953197296969697410619233826,-9.487489107917326e+40,-9.487489107917326e+40,9.487489107917326e+40,165.54894150626325
201,734544867157818093234908902110449296423351,-1.5351079844504652e+41,-1.5351079844504652e+41,1.5351079844504652e+41,166.38489206726317
202,1188518561323126046432205871807859915657177,-2.483856895242198e+41,-2.483856895242198e+41,2.483856895242198e+41,167.22084262826306
203,1923063428480944139667114773918309212080528,-4.0189648796926635e+41,-4.0189648796926635e+41,4.0189648796926635e+41,168.05679318926298
204,3111581989804070186099320645726169127737705,-6.502821774934861e+41,-6.502821774934861e+41,6.502821774934861e+41,168.8927437502629
205,5034645418285014325766435419644478339818233,-1.0521786654627525e+42,-1.0521786654627525e+42,1.0521786654627525e+42,169.7286943112628
206,8146227408089084511865756065370647467555938,-1.7024608429562385e+42,-1.7024608429562385e+42,1.7024608429562385e+42,170.56464487226273
207,13180872826374098837632191485015125807374171,-2.7546395084189908e+42,-2.7546395084189908e+42,2.7546395084189908e+42,171.40059543326265
208,21327100234463183349497947550385773274930109,-4.4571003513752296e+42,-4.4571003513752296e+42,4.4571003513752296e+42,172.23654599426257
209,34507973060837282187130139035400899082304280,-7.211739859794221e+42,-7.211739859794221e+42,7.211739859794221e+42,173.07249655526246
210,55835073295300465536628086585786672357234389,-1.166884021116945e+43,-1.166884021116945e+43,1.166884021116945e+43,173.90844711626238
211,90343046356137747723758225621187571439538669,-1.8880580070963672e+43,-1.8880580070963672e+43,1.8880580070963672e+43,174.7443976772623
212,146178119651438213260386312206974243796773058,-3.054942028213312e+43,-3.054942028213312e+43,3.054942028213312e+43,175.58034823826222
213,236521166007575960984144537828161815236311727,-4.943000035309679e+43,-4.943000035309679e+43,4.943000035309679e+43,176.41629879926214
214,382699285659014174244530850035136059033084785,-7.997942063522991e+43,-7.997942063522991e+43,7.997942063522991e+43,177.25224936026206
215,619220451666590135228675387863297874269396512,-1.294094209883267e+44,-1.294094209883267e+44,1.294094209883267e+44,178.08819992126197
216,1001919737325604309473206237898433933302481297,-2.093888416235566e+44,-2.093888416235566e+44,2.093888416235566e+44,178.92415048226187
217,1621140188992194444701881625761731807571877809,-3.3879826261188335e+44,-3.3879826261188335e+44,3.3879826261188335e+44,179.76010104326178
218,2623059926317798754175087863660165740874359106,-5.4818710423543995e+44,-5.4818710423543995e+44,5.4818710423543995e+44,180.5960516042617
219,4244200115309993198876969489421897548446236915,-8.869853668473232e+44,-8.869853668473232e+44,8.869853668473232e+44,181.43200216526162
220,6867260041627791953052057353082063289320596021,-1.4351724710827632e+45,-1.4351724710827632e+45,1.4351724710827632e+45,182.26795272626154
221,11111460156937785151929026842503960837766832936,-2.3221578379300863e+45,-2.3221578379300863e+45,2.3221578379300863e+45,183.10390328726146
222,17978720198565577104981084195586024127087428957,-3.7573303090128495e+45,-3.7573303090128495e+45,3.7573303090128495e+45,183.93985384826138
223,29090180355503362256910111038089984964854261893,-6.079488146942936e+45,-6.079488146942936e+45,6.079488146942936e+45,184.77580440926127
224,47068900554068939361891195233676009091941690850,-9.836818455955786e+45,-9.836818455955786e+45,9.836818455955786e+45,185.6117549702612
225,76159080909572301618801306271765994056795952743,-1.5916306602898723e+46,-1.5916306602898723e+46,1.5916306602898723e+46,186.4477055312611
226,123227981463641240980692501505442003148737643593,-2.575312505885451e+46,-2.575312505885451e+46,2.575312505885451e+46,187.28365609226103
227,199387062373213542599493807777207997205533596336,-4.166943166175323e+46,-4.166943166175323e+46,4.166943166175323e+46,188.11960665326094
228,322615043836854783580186309282650000354271239929,-6.742255672060774e+46,-6.742255672060774e+46,6.742255672060774e+46,188.95555721426086
229,522002106210068326179680117059857997559804836265,-1.0909198838236097e+47,-1.0909198838236097e+47,1.0909198838236097e+47,189.79150777526078
230,844617150046923109759866426342507997914076076194,-1.765145451029687e+47,-1.765145451029687e+47,1.765145451029687e+47,190.62745833626067
231,1366619256256991435939546543402365995473880912459,-2.8560653348532967e+47,-2.8560653348532967e+47,2.8560653348532967e+47,191.4634088972606
232,2211236406303914545699412969744873993387956988653,-4.621210785882984e+47,-4.621210785882984e+47,4.621210785882984e+47,192.2993594582605
233,3577855662560905981638959513147239988861837901112,-7.47727612073628e+47,-7.47727612073628e+47,7.47727612073628e+47,193.13531001926043
234,5789092068864820527338372482892113982249794889765,-1.2098486906619264e+48,-1.2098486906619264e+48,1.2098486906619264e+48,193.97126058026035
235,9366947731425726508977331996039353971111632790877,-1.9575763027355546e+48,-1.9575763027355546e+48,1.9575763027355546e+48,194.80721114126027
236,15156039800290547036315704478931467953361427680642,-3.167424993397481e+48,-3.167424993397481e+48,3.167424993397481e+48,195.6431617022602
237,24522987531716273545293036474970821924473060471519,-5.125001296133035e+48,-5.125001296133035e+48,5.125001296133035e+48,196.4791122632601
238,39679027332006820581608740953902289877834488152161,-8.292426289530516e+48,-8.292426289530516e+48,8.292426289530516e+48,197.31506282426
